school,gbrPred,school
3,2195.765623809901,Strathcona High School
33,662.8257295349902,Ross Sheppard
42,641.7433819074138,Archbishop Jordan
5,546.4099592372904,ME LaZerte High School
49,539.6415340143053,Archbishop MacDonald
48,482.4555913965559,Lillian Osborne
16,403.65542234916126,Salisbury Composite
46,353.7633944270597,Old Scona Academic
52,332.1852179074915,Harry Ainlay
17,298.648075354768,Bev Facey High School
26,297.14790426126706,Paul Kane
39,268.50720409579367,Archbishop O'Leary
45,266.88051911344786,Mother Margaret Mary
34,174.32477323400946,Austin O'Brien
30,139.16974553925792,Louis St. Laurent
38,78.18269951220448,McNally High School
43,70.27936899869061,Holy Trinity
36,70.02008099763744,Queen Elizabeth
55,64.36484964679947,St Francis Xavier
27,53.322544719366576,Blessed Oscar Romero
57,39.189178173676495,Vimy Ridge
10,33.75641125657777,WP Wagner
35,33.59175721604389,Spruce Grove
53,30.067102283703363,Ardrossan High School
50,29.665700093473273,Edmonton Christian High School
58,29.510010264428118,Strathcona Christian Academy
59,13.271640021165837,Millwoods Christian
56,4.881786920601515,J Percy Page
